Code	Dimension	Question	HelpText1	HelpText2	HelpText3
s1_q1	Strategy & Innovation	Our organization has a clear understanding of the various business impacts/benefits to GenAI applications on our organization and the whole value chain/ecosystem	Description question mean under the strategy framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s1_q2	Strategy & Innovation	Our organization’s GenAI-driven business models act as significant growth drivers and/or driving efficiency and reducing costs	Description question mean under the strategy framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s1_q3	Strategy & Innovation	"GenAI insights guide strategic market expansion and contribute to growth drivers like new products, pricing optimization, channel expansion/penetration, increased sell-through to same customers, etc."	Description question mean under the strategy framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s1_q4	Strategy & Innovation	Deployed artificial intelligence (AI)-driven tools help generate business intelligence as organization starts to harness full potential of data-dependent capabilities	Description question mean under the strategy framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s1_q5	Strategy & Innovation	Our organization makes continual investments in GenAI talent and provides access to training and development to help employees pivot and gain the necessary skill sets to work with GenAI	Description question mean under the strategy framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s1_q6	Strategy & Innovation	Investment in GenAI is a distinct and well defined part of overall capital allocation for our organization as GenAI-driven business models become major growth drivers	Description question mean under the strategy framework for Q6	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q6"
s1_q7	Strategy & Innovation	"Our organization views GenAI investments as a strategic enabler of growth rather than a cost, reflecting a proactive approach to competition and industry trends"	Description question mean under the strategy framework for Q7	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q7"
s1_q8	Strategy & Innovation	Our organization is exploring strategic partnerships or potential acquisitions to enhance our GenAI capabilities	Description question mean under the strategy framework for Q8	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q8"
s1_q9	Strategy & Innovation	"Our organization has formal functions such as an internal center of excellence focused on testing and implementing latest tech (e.g., dedicated program to pilot new initiatives)"	Description question mean under the strategy framework for Q9	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q9"
s1_q10	Strategy & Innovation	Our organization promotes and encourages innovation with specific KPIs linked to new product/service innovation throughout our organization	Description question mean under the strategy framework for Q10	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q10"
s1_q11	Strategy & Innovation	Our organization has established partnerships to collectively support advanced GenAI research and product development	Description question mean under the strategy framework for Q11	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q11"
s2_q1	Customer Experience	"Our organization leverages GenAI to provide customized solutions for clients based on their behavior and persona, in order to provide a seamless customer experience"	Description question mean under the customer framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s2_q2	Customer Experience	"Our organization gathers insights from GenAI proof-of-concept initiatives and integrates them across all business units, helping drive business decisions and customer experience"	Description question mean under the customer framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s2_q3	Customer Experience	"Integrating and scaling GenAI into the customer journey (from awareness to consideration to the decision to transact), has resulted in a measurable and sustainable increase in sales and/or profitability"	Description question mean under the customer framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s2_q4	Customer Experience	"One or more GenAI use cases have been integrated and scaled across all business units within our organization, with a primary focus on enhancing customer experience while concurrently boosting efficiency and/or optimizing costs"	Description question mean under the customer framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s2_q5	Customer Experience	"Our organization is thinking about GenAI’s potential across its entire value chain to enhance the customer experience and facilitate the adoption and scaling for GenAI solutions for increased efficiency and productivity within its ecosystem (including suppliers, customers, government etc.)"	Description question mean under the customer framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s3_q1	Organization & People	Our organization has incorporated GenAI impacts effectively into its workforce strategy to address talent needs	Description question mean under the organization framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s3_q2	Organization & People	Our organization’s performance metrics and KPIs are aligned with the evolved accountabilities resulting from GenAI integration	Description question mean under the organization framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s3_q3	Organization & People	Our organization’s culture has been examined and evolved where required to enable sustained GenAI integration with clear behavioral expectations	Description question mean under the organization framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s3_q4	Organization & People	Our organization’s leadership effectively guides new ways of working to support GenAI integration	Description question mean under the organization framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s3_q5	Organization & People	Our organization’s learning and development practices support the ongoing skill identification and development needed for the evolution of GenAI adoption	Description question mean under the organization framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s3_q6	Organization & People	Our organization has active change and stakeholder management plans in place to facilitate continuous improvement and engagement during the GenAI adoption processes	Description question mean under the organization framework for Q6	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q6"
